Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company)
123FormBuilder,https://www.crunchbase.com/organization/123formbuilder,"E-Commerce, Internet, SaaS, Software","Timisoara, Timis, Romania",123FormBuilder (former 123ContactForm) helps everybody create web forms and surveys for any webpage as easy as 1-2-3.,"26,629"
Omniconvert,https://www.crunchbase.com/organization/omniconvert,"Cloud Computing, Digital Marketing, PaaS, SaaS, Software","Bucharest, Bucuresti, Romania",Omniconvert is the world's only platform that enables companies to generate data-driven insights and to run personalization experiments.,"27,867"
Hubgets,https://www.crunchbase.com/organization/hubgets,"Analytics, Artificial Intelligence, Collaboration, Enterprise Software, Information Technology, Messaging, Productivity Tools, SaaS, Software, Unified Communications, Video","Bucarest, Bucuresti, Romania",Instant communication & collaboration that makes your business more profitable. Boost your team's productivity now!,"36,839"
Marketizator,https://www.crunchbase.com/organization/marketizator,"Cloud Computing, PaaS, Personalization, SaaS, Software","Bucharest, Bucuresti, Romania",Conversion optimization platform,"47,684"
Ebriza,https://www.crunchbase.com/organization/ebriza,"FinTech, Hospitality, Restaurants, SaaS, Small and Medium Businesses","Bucharest, Bucuresti, Romania","Ebriza is a cloud-based POS software designed for hotels, restaurants, cafes, business industry, services and retail trade.","51,158"
Jobful,https://www.crunchbase.com/organization/jobful,"Information Technology, Recruiting, SaaS, Software","Bucharest, Bucuresti, Romania",Gamified recruitment platform.,"59,399"
Docbook,https://www.crunchbase.com/organization/docbook-d52f,"Health Care, Internet, SaaS","Bucharest, Bucuresti, Romania",Docbook is a marketplace for booking medical appointments.,"60,257"
CyberGhost,https://www.crunchbase.com/organization/cyberghost-srl,"Cyber Security, Network Security, PaaS, Privacy, SaaS, Security, Software","Bucharest, Bucuresti, Romania",CyberGhost is the creator of one of the world's most reliable privacy and security solutions in the world: CyberGhost VPN,"62,750"
Kinderpedia,https://www.crunchbase.com/organization/kinderpedia-by-ota,"Education, Mobile, SaaS, Software","Bucharest, Bucuresti, Romania","Kinderpedia simplifies communication between kindergartens, teachers and parents, by bringing them on the same platform.","79,084"
Moqups,https://www.crunchbase.com/organization/moqups,"Product Design, Product Management, SaaS, Web Design, Web Development","Cluj, Cluj, Romania",Shape Your Ideas. Prove Your Concept.,"81,744"
GloriaFood,https://www.crunchbase.com/organization/gloriafood,"SaaS, Software","Bucharest, Bucuresti, Romania",GloriaFood is a provider of restaurant menu and food ordering services.,"95,479"
HR Manager Pro,https://www.crunchbase.com/organization/hr-manager-pro,"Human Resources, Recruiting, SaaS","Oradea, Bihor, Romania",HR Manager Pro is an applicant tracking system that helps companies improve the recruitment process.,"101,432"
Hack a Server,https://www.crunchbase.com/organization/hack-a-server,"Crowdsourcing, Enterprise Software, PaaS, SaaS, Security","Cluj, Cluj, Romania",Hackaserver provides companies improve their security by finding and reporting vulnerabilities or flaws on their servers and web apps.,"137,770"
Custify SRL,https://www.crunchbase.com/organization/custify-srl,"Customer Service, Information Technology, SaaS, Software","Bucharest, Bucuresti, Romania","SaaS, Customer Success Software for Saas, Customer Success","146,527"
Niftio,https://www.crunchbase.com/organization/niftio,"Education, Presentation Software, Presentations, Productivity Tools, Q&A, SaaS, Web Apps","Cluj, Cluj, Romania",All-in-One Presentation Platform for Professionals,"151,213"
Metabeta,https://www.crunchbase.com/organization/metabeta,"CRM, SaaS, Software","Iasi, Iasi, Romania","Early-stage porfolio management suite for accelerators, angels and funds.","154,560"
PriceFlux,https://www.crunchbase.com/organization/priceflux,"B2B, E-Commerce, Information Technology, Internet, SaaS, Software","Bucharest, Bucuresti, Romania",PriceFlux is the most comprehensive online price monitoring and reporting tool for small to large online retailers.,"172,226"
Appsolve,https://www.crunchbase.com/organization/appsolve,"E-Commerce, Enterprise Software, Information Technology, SaaS, Software","Bucharest, Bucuresti, Romania","We develop a software suite for the global ecommerce market, used by thousands of online stores from 120+ countries.","178,582"
YAROOMS,https://www.crunchbase.com/organization/yarooms,"SaaS, Software","Bucharest, Bucuresti, Romania","SaaS, Meeting Room Booking System, Outlook integration, Classroom booking, Resource booking","181,127"
BrandMentions,https://www.crunchbase.com/organization/brandmentions,"Apps, Business Intelligence, Internet, SaaS, Software","Iasi, Iasi, Romania",BrandMentions allows its users to monitor their brand and competitors accurately.,"187,683"
RationalPlan,https://www.crunchbase.com/organization/rationalplan,"Collaboration, Enterprise Software, Human Resources, Productivity Tools, Project Management, SaaS, Scheduling, Software, Task Management","Craiova, Dolj, Romania",RationalPlan is a creator and distributor of project management software.,"200,087"
SetupKit,https://www.crunchbase.com/organization/setupkit,"Business Development, Business Intelligence, Developer Platform, Developer Tools, Project Management, SaaS","Bucharest, Bucuresti, Romania",SaaS,"201,304"
TheWebMiner,https://www.crunchbase.com/organization/thewebminer,"Analytics, Big Data, Cloud Computing, Data Mining, SaaS","Bucharest, Bucuresti, Romania",TheWebMiner company offers enterprise web crawling and other data processing solutions,"203,434"
AvenoCam,https://www.crunchbase.com/organization/avenocam,"SaaS, Software, Video Streaming","Cluj, Cluj, Romania",SaaS,"205,807"
Skillmeter,https://www.crunchbase.com/organization/skillmeter,"Human Resources, PaaS, Recruiting, SaaS","Bucharest, Bucuresti, Romania",Hire faster and better by measuring candidates skills,"208,390"
QTeam Solutions,https://www.crunchbase.com/organization/qteam-solutions,"E-Commerce, E-Learning, Machine Learning, SaaS, Software Engineering, Web Development","Bucharest, Bucuresti, Romania","Our purpose is to deliver complex digital solutions in web related industries like e-learning, e-commerce and social media marketing.","208,848"
EzBill,https://www.crunchbase.com/organization/ezbill,"B2B, Billing, E-Commerce, Information Technology, Internet, SaaS, Software","Bucharest, Bucuresti, Romania",EzBill is an online billing service that allows you to manage your revenues and pull the essential reports you need for your business.,"232,910"
Vuzum,https://www.crunchbase.com/organization/vuzum,"Android, Digital Signage, E-Commerce, iOS, Mobile, SaaS, Web Development","Iasi, Iasi, Romania",We work with clients of any size to bring ideas to life through beautifully crafted solutions.,"258,245"
Hostero,https://www.crunchbase.com/organization/hostero,"Cryptocurrency, IT Infrastructure, SaaS, Software","Drobeta-turnu Severin, Mehedinti, Romania",Mining software for CPU mineable cryptocurrencies,"259,399"
Piconet,https://www.crunchbase.com/organization/piconet,"Analytics, Apps, Mobile Payments, Parking, SaaS","Timisoara, Timis, Romania","Parking platform for administration, payment and law enforcement","268,362"
ConturSoft,https://www.crunchbase.com/organization/contursoft,"Consumer Software, Enterprise Software, Internet, IT Infrastructure, Outsourcing, SaaS, Software, Software Engineering, Web Development","Cluj-napoca, Cluj, Romania",Software Development Company,"269,288"
Doclandia,https://www.crunchbase.com/organization/doclandia,"Health Care, mHealth, Personal Health, SaaS","Bucharest, Bucuresti, Romania",Doclandia is a subscription health information provider that enables users to have online discussions with doctors. ,"271,430"
Logistix Cloud,https://www.crunchbase.com/organization/logistix-cloud,"Artificial Intelligence, Information Technology, Logistics, SaaS, Software","Oradea, Bihor, Romania",AI powered Transportation Management Software,"277,234"
